species;genus;family;order;class;phylum;kingdom
Alpinia maxii;Alpinia;Zingiberaceae;Zingiberales;Liliopsida;Tracheophyta;Plantae
Alseodaphne himalayana;Alseodaphne;Lauraceae;Laurales;Magnoliopsida;Tracheophyta;Plantae
Alseodaphne kochummenii;Alseodaphne;Lauraceae;Laurales;Magnoliopsida;Tracheophyta;Plantae
Alsophila bongardiana;Alsophila;Cyatheaceae;Cyatheales;Polypodiopsida;Tracheophyta;Plantae
Alternaria citrimacularis;Alternaria;Pleosporaceae;Pleosporales;Dothideomycetes;Ascomycota;Fungi
Alternaria frumenti;Alternaria;Pleosporaceae;Pleosporales;Dothideomycetes;Ascomycota;Fungi
Alysia provancheri;Alysia;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia
Amanita floridana;Amanita;Amanitaceae;Agaricales;Agaricomycetes;Basidiomycota;Fungi
Amanoa caribaea;Amanoa;Phyllanthaceae;Malpighiales;Magnoliopsida;Tracheophyta;Plantae
Amaranthus alleizettei;Amaranthus;Amaranthaceae;Caryophyllales;Magnoliopsida;Tracheophyta;Plantae
Amata taurica;Amata;Erebidae;Lepidoptera;Insecta;Arthropoda;Animalia
Amaurobius antipovae;Amaurobius;Amaurobiidae;Araneae;Arachnida;Arthropoda;Animalia
Amblystomus similis;Amblystomus;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia
Ambonychia quadratus;Ambonychinia;Ambonychiidae;Myalinida;Bivalvia;Mollusca;Animalia
Ameiva concolor;Ameiva;Teiidae;Squamata;Reptilia;Chordata;Animalia
Ametoria residua;Ametoria;Echinoconchidae;Productida;Strophomenata;Brachiopoda;Animalia
Ammothea striata;Ammothea;Ammotheidae;Pantopoda;Pycnogonida;Arthropoda;Animalia
Amorphochelus ebenus;Amorphochelus;Melolonthidae;Coleoptera;Insecta;Arthropoda;Animalia
Ampelisca miops;Ampelisca;Ampeliscidae;Amphipoda;Malacostraca;Arthropoda;Animalia
Amphianthus natalensis;Amphianthus;Amphianthidae;Actiniaria;Anthozoa;Cnidaria;Animalia
Amphicnemis erminea;Amphicnemis;Coenagrionidae;Odonata;Insecta;Arthropoda;Animalia
Amphicoecia adamana;Amphicoecia;Tortricidae;Lepidoptera;Insecta;Arthropoda;Animalia
Amphinemura decemseta;Amphinemura;Nemouridae;Plecoptera;Insecta;Arthropoda;Animalia
Amphinemura multispina;Amphinemura;Nemouridae;Plecoptera;Insecta;Arthropoda;Animalia
Amphiodia sculptilis;Amphiodia;Amphiuridae;Amphilepidida;Ophiuroidea;Echinodermata;Animalia
Amphiodia tabogae;Amphiodia;Amphiuridae;Amphilepidida;Ophiuroidea;Echinodermata;Animalia
Amphitretus thielei;Amphitretus;Amphitretidae;Octopoda;Cephalopoda;Mollusca;Animalia
Ampulex ceylonica;Ampulex;Ampulicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Ampulex surinamensis;Ampulex;Ampulicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Amusiotheres hanumantharaoi;Amusiotheres;Pinnotheridae;Decapoda;Malacostraca;Arthropoda;Animalia
Amusium paris;Amusium;Pectinidae;Pectinida;Bivalvia;Mollusca;Animalia
Anacroneuria dilaticollis;Anacroneuria;Perlidae;Plecoptera;Insecta;Arthropoda;Animalia
Anaperochernes margaritifer;Anaperochernes;Chernetidae;Pseudoscorpiones;Arachnida;Arthropoda;Animalia
Anchistropus minor;Anchistropus;Chydoridae;Diplostraca;Branchiopoda;Arthropoda;Animalia
Ancistrocerus antoni;Ancistrocerus;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Ancistrocerus aureovillosus;Ancistrocerus;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Ancistrorhynchus parviflorus;Ancistrorhynchus;Orchidaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Andaspis viticis;Andaspis;Diaspididae;Hemiptera;Insecta;Arthropoda;Animalia
Andrena konyella;Andrena;Andrenidae;Hymenoptera;Insecta;Arthropoda;Animalia
Andrena latinensis;Andrena;Andrenidae;Hymenoptera;Insecta;Arthropoda;Animalia
Andrena misella;Andrena;Andrenidae;Hymenoptera;Insecta;Arthropoda;Animalia
Andropogon brasiliensis;Andropogon;Poaceae;Poales;Liliopsida;Tracheophyta;Plantae
Andryala christii;Andryala;Asteraceae;Asterales;Magnoliopsida;Tracheophyta;Plantae
Angraecum melanostictum;Angraecum;Orchidaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Angustinaripterus longicephalus;Angustinaripterus;Rhamphorhynchidae;Pterosauria;Reptilia;Chordata;Animalia
Anillus convexus;Anillus;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia
Anneckeida angustifrons;Anneckeida;Torymidae;Hymenoptera;Insecta;Arthropoda;Animalia
Anoecophysis branchiodes;Anoecophysis;Tortricidae;Lepidoptera;Insecta;Arthropoda;Animalia
Anomala cingulata;Anomala;Rutelidae;Coleoptera;Insecta;Arthropoda;Animalia
